battery_level,speed,temperature,energy_consumption
58.0,49.0,34.0,8.82
87.0,59.0,34.0,7.18
58.0,52.0,32.0,7.63
79.0,55.0,25.0,5.0
64.0,78.0,25.0,9.44
71.0,39.0,28.0,5.61
86.0,63.0,32.0,9.17
77.0,49.0,30.0,6.12
86.0,84.0,28.0,9.37
65.0,68.0,31.0,5.41
46.0,74.0,29.0,8.9
55.0,44.0,34.0,9.52
80.0,47.0,27.0,5.0
65.0,42.0,32.0,8.33
85.0,49.0,29.0,7.1
89.0,51.0,28.0,5.0
65.0,70.0,27.0,8.56
87.0,60.0,36.0,9.8
82.0,65.0,31.0,5.79
71.0,49.0,31.0,5.0
80.0,43.0,27.0,5.92
56.0,44.0,26.0,5.5
76.0,67.0,32.0,11.65
63.0,40.0,28.0,5.0
92.0,69.0,31.0,6.27
72.0,63.0,30.0,5.0
64.0,82.0,30.0,9.93
68.0,48.0,33.0,7.72
87.0,47.0,32.0,5.0
51.0,39.0,28.0,5.0
53.0,72.0,30.0,10.62
85.0,44.0,35.0,6.91
53.0,63.0,31.0,10.38
58.0,50.0,29.0,7.58
69.0,66.0,30.0,8.69
90.0,81.0,31.0,5.06
60.0,71.0,33.0,8.92
65.0,49.0,28.0,6.23
53.0,59.0,30.0,8.28
86.0,54.0,36.0,6.3
77.0,60.0,29.0,7.83
60.0,72.0,30.0,8.8
76.0,43.0,31.0,5.0
45.0,72.0,31.0,8.55
69.0,43.0,27.0,6.62
77.0,51.0,28.0,6.96
82.0,60.0,31.0,6.88
49.0,51.0,30.0,8.24
60.0,60.0,35.0,10.78
63.0,59.0,28.0,5.67
62.0,80.0,33.0,7.11
71.0,58.0,30.0,6.12
81.0,50.0,29.0,6.97
80.0,64.0,29.0,6.21
59.0,58.0,32.0,7.75
80.0,42.0,29.0,5.0
82.0,54.0,32.0,6.66
89.0,45.0,35.0,9.07
60.0,65.0,33.0,10.16
58.0,75.0,30.0,9.82
60.0,63.0,29.0,6.09
68.0,52.0,28.0,5.9
76.0,52.0,29.0,5.0
92.0,75.0,27.0,6.65
83.0,38.0,26.0,5.0
65.0,35.0,25.0,5.0
49.0,70.0,26.0,11.21
77.0,60.0,30.0,9.83
69.0,58.0,31.0,5.0
67.0,58.0,27.0,6.91
70.0,79.0,28.0,8.97
69.0,58.0,31.0,8.29
89.0,59.0,30.0,5.0
74.0,53.0,28.0,5.19
65.0,62.0,28.0,5.0
62.0,72.0,28.0,7.0
54.0,73.0,33.0,11.59
48.0,64.0,30.0,9.44
85.0,64.0,35.0,11.38
75.0,54.0,30.0,7.42
54.0,62.0,26.0,7.48
71.0,61.0,29.0,5.0
58.0,82.0,26.0,8.87
60.0,63.0,34.0,10.78
79.0,70.0,26.0,5.79
73.0,64.0,35.0,9.62
71.0,55.0,27.0,7.5
89.0,45.0,25.0,5.0
78.0,79.0,28.0,7.87
73.0,35.0,24.0,5.0
59.0,76.0,28.0,7.44
48.0,49.0,34.0,7.93
73.0,37.0,27.0,6.34
66.0,68.0,35.0,10.11
76.0,58.0,26.0,5.0
71.0,49.0,30.0,5.64
74.0,59.0,28.0,7.58
70.0,56.0,29.0,5.0
59.0,80.0,26.0,7.4
61.0,47.0,26.0,5.0
90.0,39.0,35.0,6.71
83.0,65.0,24.0,5.0
74.0,74.0,25.0,7.45
65.0,50.0,31.0,6.09
63.0,66.0,30.0,10.39
69.0,51.0,32.0,5.0
93.0,72.0,24.0,5.0
95.0,64.0,30.0,6.31
89.0,49.0,26.0,5.0
81.0,80.0,27.0,8.3
70.0,68.0,29.0,7.72
52.0,37.0,36.0,8.93
72.0,72.0,28.0,5.19
85.0,54.0,30.0,6.24
69.0,77.0,35.0,11.14
83.0,67.0,24.0,5.0
60.0,63.0,30.0,10.41
52.0,48.0,35.0,9.47
73.0,48.0,35.0,5.0
87.0,49.0,26.0,5.0
54.0,76.0,35.0,11.09
85.0,82.0,36.0,11.56
57.0,65.0,33.0,9.46
61.0,52.0,30.0,8.23
64.0,69.0,31.0,8.86
92.0,58.0,26.0,5.0
